Equipment_name,Equipment_type,Make,Model,Owner,Phone,Email,Location,Availability,Delivery,Quantity
Excavator,Heavy Machinery,Caterpillar,336E L,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','False',3
Excavator,Heavy Machinery,Komatsu,PC210LC-11,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','False',4
Excavator,Heavy Machinery,Hitachi,ZX350LC-6,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','True',7
Excavator,Heavy Machinery,Volvo Construction Equipment,EC380E,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','False',4
Excavator,Heavy Machinery,JCB,JS220,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','True',5
Bulldozer,Heavy Machinery,Caterpillar,D6T,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','False',6
Bulldozer,Heavy Machinery,Komatsu,D65EX-18,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','True',3
Bulldozer,Heavy Machinery,John Deere,850K,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','True',2
Bulldozer,Heavy Machinery,Liebherr,PR 746,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','True',8
Bulldozer,Heavy Machinery,Case Construction Equipment,1150M,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','True',1
Backhoe,Heavy Machinery,JCB,3CX,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','False',2
Backhoe,Heavy Machinery,Caterpillar,430F/430F IT,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','False',4
Backhoe,Heavy Machinery,Case Construction Equipment,580N,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','False',8
Backhoe,Heavy Machinery,Volvo Construction Equipment,BL61B,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','False',3
Backhoe,Heavy Machinery,New Holland Construction,B95C,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','True',6
Crane,Heavy Machinery,Liebherr,LTM 1090-4.2,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','False',4
Crane,Heavy Machinery,Terex Corporation,RT780,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','True',2
Crane,Heavy Machinery,Tadano Ltd.,GR-800EX,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'True','False',6
Crane,Heavy Machinery,Manitowoc Cranes,M-250 Series 2,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','True',7
Crane,Heavy Machinery,Kobelco Construction Machinery,CKE2500G-2,David Rodriguez,305-555-1234,davidr83@gmail.com,"Miami, Florida",'False','True',3
Concrete Mixer,Equipment,Caterpillar,CT660,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','True',3
Concrete Mixer,Equipment,Liebherr,HTM 804,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',3
Concrete Mixer,Equipment,SANY Group,SY306C-8,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',4
Concrete Mixer,Equipment,Putzmeister,PM 702,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','False',5
Concrete Mixer,Equipment,Schwing Stetter,SLM 4000,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',2
Jackhammer,Tool,Bosch,GSH 16-30,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',1
Jackhammer,Tool,Makita,HM1812,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','True',6
Jackhammer,Tool,Hilti,TE 3000-AVR,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',7
Jackhammer,Tool,Hitachi Power Tools,H65,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',8
Jackhammer,Tool,Dewalt,D25980,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','False',4
Scaffolding,Equipment,Layher,Allround Scaffolding,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','True',3
Scaffolding,Equipment,PERI,PERI UP,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',4
Scaffolding,Equipment,Harsco Infrastructure,Modular Access System,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','True',4
Scaffolding,Equipment,Altrad,Altrad Plettac Assco,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',4
Scaffolding,Equipment,Waco International,Waco Ringlock,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',1
Forklift,Industrial Vehicle,Toyota Material Handling,8FGCU25,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',2
Forklift,Industrial Vehicle,Hyster-Yale Materials Handling,H190-360HD2,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','True',6
Forklift,Industrial Vehicle,Crown Equipment Corporation,C-5 Series,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',3
Forklift,Industrial Vehicle,Linde Material Handling,H35D,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',4
Forklift,Industrial Vehicle,Mitsubishi Logisnext,FGE35AN,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',7
Trencher,Machine,Ditch Witch,RT45,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','True',3
Trencher,Machine,Vermeer Corporation,RTX750,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',3
Trencher,Machine,Tesmec S.p.A.,TRS 1475,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',4
Trencher,Machine,Barreto Manufacturing,1320H,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','False',4
Trencher,Machine,Toro Company,TRX-26,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',6
Compactor,Equipment,Caterpillar,CS54B,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',1
Compactor,Equipment,Volvo Construction Equipment,SD115B,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','True',1
Compactor,Equipment,Hamm AG,3412,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'True','False',4
Compactor,Equipment,Bomag,BW 211 D-5,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','True',2
Compactor,Equipment,Dynapac,CC800,Amy Wilson,312-555-5678,amywilson22@yahoo.com,"Chicago, Illinois",'False','False',5
Drill,Power Tool,Makita,XPH07Z,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',4
Drill,Power Tool,DeWalt,DCD996B,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',7
Drill,Power Tool,Bosch,HDS181A,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',2
Drill,Power Tool,Milwaukee,2804-20,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',5
Drill,Power Tool,Black & Decker,LDX120C,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',3
Saw,Power Tool,Makita,XSH06Z,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',6
Saw,Power Tool,DeWalt,DWE575,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',8
Saw,Power Tool,Bosch,CS10,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',5
Saw,Power Tool,Milwaukee,2730-20,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',2
Saw,Power Tool,Festool,TS 55 REQ,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',3
Sander,Power Tool,Makita,XOB01Z,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','True',9
Sander,Power Tool,DeWalt,DWE6423K,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'False','True',4
Sander,Power Tool,Bosch,ROS20VSC,Ryan Phillips,407-555-9012,ryan.phillips87@gmail.com,"Orlando, Florida",'True','False',7
